PESQUISADOR,DESCRIÇÃO
Antonio Misson Godoy,"Glaúcia Fumes Chaguri.
						CARACTERIZAÇÃO GEOLÓGICA DO GRUPO AMONGUIJÁ ? RIO APA ? MS.
						2011.
						Iniciação Científica. (Graduando em Geologia)  - Instituto de Geociências e Ciências Exatas de Rio Claro,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Antonio Ferreira de Mello Junior.
						CARACTERIZAÇÃO PETROGRÁFICA DO MAGMATISMO RAPAKIVI NA REGIÃO NORTE DO ESTADO DE MATO GROSSO (TELES PIRES).
						2011.
						Iniciação Científica. (Graduando em Geologia)  - Instituto de Geociências e Ciências Exatas de Rio Claro,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"José Roberto Erler.
						Caracterização Petrográfica do Magmatismo Rapakivi na região norte do Estado de Mato Grosso (Granito Aripuanã).
						2009.
						Iniciação Científica. (Graduando em Geologia)  - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Antonio Ferreira de Mello Junior.
						Caracterização Petrográfica do Magmatismo Rapakivi na região norte do Estado de Mato Grosso (Granito Aripuanã).
						2009.
						Iniciação Científica. (Graduando em Geologia)  - Instituto de Geociências e Ciências Exatas de Rio Claro,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Gláucia Fumes Chaguri.
						MAGMATISMO DA SERRA DA ALEGRIA, SUL DO CRÁTON AMAZÔNICO-MS..
						2009.
						Iniciação Científica. (Graduando em Geologia)  - Instituto de Geociências e Ciências Exatas de Rio Claro,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Luis Fernando Paulillo Sims.
						Caracterização petrográfica e geoquímica da Suíte Vulcânica Serra da Bocaina, Maciço Rio Apa, MS.
						2008.
						Iniciação Científica. (Graduando em Geologia)  - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Yuri Baldim.
						CARACTERIZAÇÃO GEOLÓGICA, FACIOLÓGICA E PETROGRÁFICA DO BATÓLITO ALUMIADOR E SUAS RELAÇÕES GEOLÓGICAS COM AS ROCHAS ORTODERIVADAS DO COMPLEXO RIO APA E DAS PARADERIVADAS DA SEQUÊNCIA SUPRACRUSTAL URUCUM - MS.
						2007.
						Iniciação Científica. (Graduando em Geologia)  - Instituto de Geociências e Ciências Exatas,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Marcos Vínicius Veloso da Silva.
						Caracterização petrográfica e geoquímica da Suíte Vulcânica Serra da Bocaina, Maciço Rio Apa, MS.
						2007.
						Iniciação Científica. (Graduando em Geologia)  - Instituto de Geociências e Ciências Exatas,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Marcos Vinícius Veloso.
						CARACTERIZAÇÃO FACIOLÓICA E PETROGRÁFICA DOS GRANITOS TIPO ALVORADA ? SW DO CRÁTON AMAZÔNICO-MT.
						2007.
						Iniciação Científica. (Graduando em Geologia)  - Instituto de Geociências e Ciências Exatas,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Luís Fernando M de MONTANO.
						Caracterização Geológica e Petrográfica da Suíte Alvorada SW do Mato GRosso..
						2005. 0 f.
						Iniciação Científica. (Graduando em Geologia)  - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
